name,fileorder,number,parkprop,borough,parkname,parknumber,commboard,council,Location,extant,dedicated,cast,descrip,dimen,sponsor,materials,foundry,fabricator,sculptor,architect,donor,maintain,contractor,Name2,Name3,MaintainedByParks,Installation,Rededication,Cost,Categories,inscribed,X,Y
McCarren Park World War II Flagstaff,,997,Y,Brooklyn,McCarren Park,B058,1,33,Bedford Avenue & Lorimer Street,Y,1947,,Flagstaff and base,"Base H: 11"" W: 72""",,Granite,,,,Hans Holsing,Greenpoint Patriotic Organization,,,,,Y,,,,"World War II, War Memorial",,997393.022258386,202671.83814439178
Phillip Mazzei Flagstaff,,991,Y,the Bronx,Pelham Parkway Houses Playground,X157,11,13,Mace Avenue and Williamsbridge Road; Philip Mazzei Playground,Y,"May 1, 1981",,Flagstaff on base,"Diameter: 48""",,"Steel, granite",,,,,Columbus ESCA Alliance Inc,,,,,Y,,,,"Revolutionary War, War Memorial, Revolutionary War",,1023441.0508708805,253535.71738755703
Manhattan State Hospital War Memorial,,969,Y,Manhattan,Wards Island Park,M107,11,22,WARDS ISLAND; Front of Adolph Meyer Mem. Bldg,M,,,"Tablet, plinth, 2 trench mortars","plq: 23""h x 22""w x¾""d",,"Bronze, concrete plinth, steel mtrs",,,,,,,,,,,,,,"War Memorial, World War I",,,
Bronx Local Board #2 World War Memorial,Bronx Local Board #2 War Memorial,158,Y,the Bronx,Graham Square,X023,1,17,"Third Avenue, Morris Avenue, and 139th Street",Y,ca. 1921,ca. 1920,"Fluted rostral column topped with an eagle and inscribed with honor roll, on pedestal with bronze plaque","H: 32'2""; Pedestal W: 9'6"" D: 9'6""; Plaque diameter 20"" (approximate)",,Column---Quincy granite; Plaque---bronze,,,Menconi  Brothers,Harold M. Bowdin,Friends and neighbors of Local Board #2;  Plaque--Veterans of Foreign Wars,,,,,Y,,,8200.00,"Sculpture, World War I, Animal: other, War Memorial",,1004547.4121490568,234937.31101489067
Captain George H. Tilly,,1549,Y,Queens,Captain Tilly Memorial Park,Q052,8,24,Highland Avenue and 165th St.,Y,1941,,Stele,"H: 9'1"" W: 5'1"" D: 5'1""",,Gray Westerly granite,,Jos. Bernill Inc. Builders,,,"United Spanish War Veterans, Jamaica",,,,,Y,,,"$10,000?","Spanish-American War, War Memorial",,1040026.4589729756,198457.5827933997
Jewish-American Tercentenary Flagstaff,Jewish-American Tercentenary Flagstaff,816,Y,Manhattan,Peter Minuit Park,M183,1,1,"Peter Minuit Plaza, State and Whitehall Streets",Y,"May 20, 1955","May 20, 1955","Flagstaff on base, plaque","Base H: 6'10"" W: 4'7"" D: 4'7""; Plaque H: 4'7"" W: 2'8""",,"Milford pink granite, bronze",Roman Bronze Works,,Abram Belskie,,"State of New York, under auspices of The New York Legislative Committee for the American Jewish Tercentenary",,,,,Y,,,,,,980589.5899860561,195102.48812563717
Paul J. Rainey Memorial Gates,"Rainey, Paul J.",1312,O,the Bronx,Bronx Park,X002,14,12,"Bronx Zoo Entrance, Pelham Parkway",Y,1933,,Ornamental gates and gatehouse,H: 40' W: 70',,"Granite, bronze",,,Paul Howard Manship,Charles A. Platt,Mrs. Grace Rainey Rogers,,,,,,,,,Civic Leader,,1018153.7766685486,250904.63209855556
The Hiker,"Hiker, The",724,Y,Staten Island,Tompkinsville Park,R024,1,49,,Y,1916,1916,"Standing figure (life size), on pedestal with four plaques","Figure H: 6'7""; Pedestal H: 6' W: 5'10"" D: 5'10""; Plaques H: 1'8"" W: 2'6""",,"Bronze, North Jay granite","Jno. Williams, Inc.",,Allen G. Newman,,Public subscription,,,Soldiers Memorial,,Y,,,2500.00,"Spanish-American War, Civil War, War Memorial, World War I, All Wars, Revolutionary War",,963054.3675106317,171587.6243943125
John F. Murray,,1075,Y,Queens,John F. Murray Playground,Q141,2,26,21st st. and 45th avenue,N,"1949, stolen 1975",,Curved tablet on flagstaff base seat-- stolen,"8 ½""h x 2'9 ½""w",,"Bronze, Deer Isle granite",,,,,friends,,,,,,,,,Public Servant,,,
Gracie Mansion Garden Tablet,,605,Y,Manhattan,Carl Schurz Park,M081,8,5,Gracie Mansion garden - Not Found 4/06 by J&V,M,1968,,Tablet on plinth,"Tablet H: 9"" W: 13""; Plinth H:11"" W: 15"" D:12""",,"Bronze, concrete","U.S. Bronze Sign Company, NY",,,,City Garden Club,,,,,,,,250.00,,,1000173.0829712152,222082.49682955444
Mohandas Gandhi,"Gandhi, Mohandas Karamchand.",569,Y,Manhattan,Union Square Park,M089,5,2,"West side of park, near 14th Street",Y,"October 2, 1986",1986,Standing figure (over life-size) with integral plinth on pedestal with plaque,"Figure H: 6'6"" W: 1' 9""  D: 2' 9""; Pedestal H: 3' 9"" W: 2'1"" D: 2'6""",T&A,Figure and plaque---bronze; pedestal---cast concrete,,,Kantilal B. Patel,,Gandhi Memorial International Foundation and Mohan B. Murjani,Y,"$100,000; fund established by Mohan B. Murjani for maintenanace of all the statues in Union Square Park",,,Y,,,"$60,000","Philosophy, Politcal Figure",,986655.1037736386,207255.61670647562
Fort Greene Tablet,,524,Y,Brooklyn,Fort Greene Park,B032,2,35,Myrtle Avenue and Washington Avenue,M,1905,,Tablet,"H: 1'4 ½"" W: 4'7 ½""",,Bronze,,,,,,,,,,,,,,,,,
Maspeth Memorial,,988,Y,Queens,,Q019,5,26,Grand Avenue at 57th Ave. and 72nd St.,Y,1931,,Triangular shaft on seat,"H: 7'8"" Diameter: 6'",,Tennessee pink marble,,,,Paul C. Hunter,Gift,,,,,Y,,,"$2,500","World War I, War Memorial",,1014494.520535633,204656.00018656254
Harriet Feil Gural,,651,Y,the Bronx,Van Cortlandt Park,X092,0,11,Southwest section,M,1945,,Plaque on plinth,"Plaque H: 3 ½"" W: 5""; Plinth H: 7"" W: 8 ½""",,"Bronze, Barre granite",,,,,Mrs. Benjamin Hayes,,,,,,,,,Women,,,
George Peirce Andrews,"Andrews, George Peirce",38,N,Manhattan,,,1,1,"Part XVIII (Room 317), New York County Court House, Center and Prince Streets",Y,1903,1903,relief bust (heroic scale),,,bronze,,,George Thomas Brewster,,gift,,,,,,,,,Sculpture,,995663.6425150484,232601.86752305925
Ronald McNair,"McNair, Ronald Erwin",1763,Y,Brooklyn,Dr. Ronald McNair Park,B044,9,35,"Eastern Pkwy, Washington to Classon Aves",Y,"June 14, 1994",ca. 1994,"Bust (life size) recessed in pyramidal monument, two plaques with reliefs","H: 9' W: 5'6"" at base",,Missouri red granite (polished); bronze,,"Anchor Casting, Milton Osborne, bust and plaques; A. Ottavino Corp., pedestal",Ogundipe Fayomi (AKA Claude Audrey),DPR,"Percent for Art, New York City",,,,,Y,,,"$23,664","Composer/Musician, Educator, Explorer, Portrait, Scientist/Inventor, Sculpture",,994792.3985226303,183575.24444788694
Firemen's Memorial Tablet Horses,,484,Y,Manhattan,Riverside Park,M071,7,9,"Firemens Memorial Terrace, Riverside Drive at 100th Street",Y,1927,,Tablet embedded in terrace,"H: 4'5"" D: 4'5""",,Bronze,,,,Harold Van Buren Magonigle,Public subscription,,,,,Y,,,,"Animal: equestrian, Fireman",,991607.8090912998,230254.5693961382
Cpl. William A. Leonard Flagstaff,,895,Y,Queens,Flushing Fields,Q086,7,20,IN STORAGE; 149th Street and Bayside Avenue,S,"July 4, 1922",,Tablet on flagstaff,"H: 7"" W: 12 ½""",,Bronze,,,,,American Legion Post No. 422 & Citizens of Flushing,,,,,,,,,"World War I, War Memorial",,,
Frank C. Prokop,,1225,N,Queens,,,5,30,Fresh Pond Road and 69th Avenue,Y,,,Triangular stele with inscised lettering,H: 5' W: 2' D: 1',,Barre granite,,,,,"Glenridge Post 34, CWV",,,,,Y,,,,,,1013273.9455489665,195500.09789472818
Lydig Memorial,,951,O,the Bronx,Bronx Park,X002,14,12,"Bronx Zoo; top of stairs, west of ""Hall of Darkness"" exhibit",Y,1908,,"2 stone pillars with plaques, iron ornament",,,"Granite, bronze, iron",,,,Heins and LaFarge,Florence Lydig Sturgis,,,,,,,,,,,,
APPEND,,831,N,the Bronx,,,1,17,"BRONX BOROUGH COURTHOUSE; brook ave, 3rd ave, sth of e. 161st st",Y,1910,,statue,,,tenessee marble,,,g.e. roine,,purchase  $4000,,,,,,,,,,,,
Christopher Columbus Tablet,"columbus, christopher",301,Y,Brooklyn,Columbus Park,B113C,2,33,"In front of New York State Supreme Court Building, at Montague and Court Streets",Y,"October 8, 1971",,Plaque on pedestal,"H: 12"" W: 36"" D: ¼""d",,Bronze,"U.S. Bronze Sign Company, NY",,,,P.R.C.A.,,,,,Y,,,,Explorer,,987030.5597156435,192087.43181981146
Forest Hills War Memorial,Forest Hills War Memorial,508,N,Queens,,,0,29,Forest Hills Gardens: Greenway Terrace and Middle Way  Place,Y,1920,1920,Bas-relief with figure and honor roll of names on stele,,,Bas-relief--bronze; stele--granite,,,Adolph Alexander Weinman,,,,,,,,,,,"War Memorial, World War I",,,
Tottenville War Memorial,,1566,Y,Staten Island,,,3,51,"Outer bridge crossing, traffic circle ?",M,1925,,Stele with tablet,"H: 1'6"" W: 3'1"" D: 2'6""; Tablet diameter: 7""",,"Bronze, fieldstone",,,,,,,,,,,,,,"World War I, War Memorial",,,
Maryland Memorial,,986,Y,Brooklyn,Prospect Park,B073,0,39,Lookout Hill,Y,1895,,Large corinthian column with globe at top,"Column H: 12' Diameter 19"" - 26""; Capital H: 29"" W: 29"" D: 22 1/2""; Globe Diameter 24""",,"Granite, bronze, marble",,,,Stanford White,"Maryland Sociey, Sons of the American Revolution",,,,,Y,,,,"Revolutionary War, War Memorial",,992640.8595186323,179083.699297145
David Rockefeller Linden Terrace Plaque,,2099,Y,Manhattan,,M029,12,7,Base of Linden Terrace,Y,"June 15, 2010",,Dedication plaque inset into fieldstone wall,"H: 36 1/4"" W: 28 1/4""",,Bronze,Bedi-Makky Foundry,John Saunders,,,Fort Tryon Park Trust,,,,,Y,06/11/2010,,,,,1002655.8841079772,253137.31332872808
Margaret Loeb Kempner,,850,Y,Manhattan,Washington Square Park,M098,2,1,"Washington Square, 4th Street, Kempner Playground",N,,,Tablet on granite wall in playground,"H: 13"" W: 13""",,Stainless steel,,,,,"Mrs. Kempner; Sudents, Faculty, Staff Members, and Trustees of New York University",,,,,,,,,"Civic Leader, Women",,984859.6982437223,205361.7717408985
American Legion Flagstaff,American Legion Flagstaff,23,Y,Manhattan,St. Catherine's Park,M079,8,5,"1st Avenue, East 67th and East 68th Streest",N,November 1941,1941,"Flagstaff on base, plaque","Original plaque H: 1'3"" W: 1'10""; Replacement tablet H: 1'4"" W: 1'8""",,Base--cast stone; Original plaque--bronze; Replacement tablet--granite with bronze decorations,,,,,"Col. Francis Vigo Post No. 1093, American Legion",,,,,,,,,"World War I, War Memorial",,,
Henry E. Coursey Memorial Playground,"coursey, henry e.",340,Y,Brooklyn,Kosciusko Pool,B351,3,36,Marcy and Dekalb Avenues,N,,,Plaque recessed in wall,"H: 32"" W: 12"" D: ¼""",,"Stainless steel, concrete",,,,,Tompkins Park Committee,,,,,,,,,,,,
Bushwick War Memorial,Bushwick War Memorial,1013,Y,Brooklyn,Memorial Gore,B062,1,33,"Bushwick, Metropolitan and Maspeth Avenues",Y,"December 5, 1920",1920,Eagle on ball on triangular shaft on plinth; small tablet on ground with dedication date,"Eagle H: 1'2""; Overall H: 14' W: 7'",,Tennessee pink marble,,,Piccirilli Brothers,"Presbrey, Leland Co.",American Legion,,,,,Y,,,,"War Memorial, World War I",,1000226.6514336318,199718.6170167327
Rockaway Veterans Memorial,"Rockaway Vetereans Memorial, Doughboy",1360,Y,Queens,,Q163A,14,32,Rockaway Beach Boulevard at B 94th Street,Y,1927,1927,Standing figure (over life-size) on pedestal with six plaques,"Figure H: 8'4""; Pedestal H: 5'9"" W: 3'9"" D: 4'6""; World War I plaque H: 2'11"" W: 2'; World War II plaque H: 3'4"" W: 2'",,Figure and plaques--bronze; pedestal--Deer Isle granite,,,Joseph P. Pollia,William van Alen,Public subscription,,,Rockaway Doughboy,Rockaway Memorial,Y,,,$9000,"World War I, World War II, Korean War, Vietnam War, War Memorial, Soldier",,1035120.5052022189,152718.93181681633
Soldiers and Sailors Memorial Arch,Soldiers and Sailors Memorial Arch,1463,Y,Brooklyn,Grand Army Plaza,B040,19,33,,Y,"October 21, 1892",1892,"Triumphal arch; bas-relief figures in spandrels on south face; seal of city of Brooklyn and seal of New York state in spanrels on north face; sixteen medallions, four on each of the pier stages at south and north faces",Total h 80' x w 80' x d 50'; archway h 50' x w 35',Richard J. Schwartz,Granite,,,Philip Martiny (spandrel figures),John Hemingway Duncan,City of Brooklyn: tax levy and bond issues,,,,,Y,,,"450,000.00 plus interest on bonds","Civil War, War Memorial, US President",,992608.2276941389,184457.60291939974
Peter the Fisherman Fountain,,1178,N,Manhattan,,,7,6,FORHAM UNIVERSITY; robert moses plaza,Y,,,"rect. displ. fntn. statue, plaque",see memo,,"polished pink gran., bronze",,,Frederic Shrady,,fordham university,,,,,,,,,,,,
General Josiah Porter,"Porter, Josiah",1212,Y,the Bronx,Van Cortlandt Park,X092,0,11,"Behind Van Cortlandt House, Broadway at 245th Street",Y,1902,ca. 1902,"Standing figure on integral plinth, on pedestal","Figure H: 8'; Pedestal H: 7' W: 8'3"" D: 8'3""",,"Bronze, Westerly, R. I. Granite",Gorham Mfg. Co. Founders,,William Clark Noble,Tainter [alternatively Harry E. Donnell],"National  Guard Association, New York State",,,,,Y,,,20000.00,"Civil War, War Memorial, Soldier",,1013333.6196422279,264023.99956056476
Maurice A. Fitzgerald,,488,Y,Queens,Maurice A. Fitzgerald Park,Q337,9,32,106 Street and Atlantic Avenue,M,1951,,Tablet on wall of park house,"H: 11 ¼"" W: 21 ¼""",,Bronze,,,,,Gift of citizens,,,,,,,,,"Politcal Figure, Civic Leader",,,
Clinton War Memorial (Doughboy),Clinton War Memorial,271,Y,Manhattan,De Witt Clinton Park,M022,4,3,11th Avenue and 53rd Street,Y,"November 11, 1929",ca. 1927,"Standing figure (over life size) with integral plinth, on pedestal","H: 12' W: 4'8"" D: 4'8""",,"Bronze, North Jay granite",Gorham,,Burt W. Johnson,Harvey W. Corbett,Clinton District Memorial Association.,,,Flanders Field Memorial; De Witt Clinton Park World War Memorial,,Y,,,,"Sculpture, World War I, War Memorial, Soldier",,985931.3168353885,218903.96053572
Holocaust Memorial,Holocaust Memorial,1769,N,Manhattan,Hammarskjold Plaza,M203C,6,4,,Y,1982,ca. 1982,"Seven relief plaques mounted on a three-tiered wall composed of five sections, inscribed table","each plaque h 2'7""-8"" x w 3'6""-7""; first tier of wall h 4'9""; second tier h 4'8""; third tier h 2'11""",,plaques--bronze; wall--pink granite; table--gray granite,,,Arbit Blatas,,Moses and Phyllis Deitcher,,,,,,,,,Sculpture,,992989.0760138035,213256.98265647888
Union Square National Historic Landmark Plaque,,2070,Y,Manhattan,,M089,5,2,"South end, east of George Washington sculpture",Y,2002,2002,Plaque,,,Bronze,,Gregg LeFevre,Laurence Mauro,,,,,,,Y,,,,,,986808.4443462193,207161.94104081392
Hamilton Grange State Ed Standard,,661,N,Manhattan,,,9,7,CONVENT AVENUE AND 141ST ST,Y,1932,,Sign standard,,,Iron,,,,,state education department,,,,,,,,,,,,
Altman Plaque,Altman,17,Y,Manhattan,Highbridge Park,M037,12,7,"Highbridge Tower, 173rd Street and Amsterdam Avenue",N,"May 30, 1958",ca. 1958,Plaque,"h 1'2¼"" x w 1'10½""",,Bronze,,,,,Altman Foundation,,,,,,,,,Business Leader,,,
Dyckman National Landmark Plaque,Dyckman National Landmark Plaque,423,Y,Manhattan,Dyckman House Museum,M026,12,7,Broadway and West 204th Street; mounted on wall to left of front door,N,"November 27, 1968",ca. 1968,Plaque on exterior wall,"H: 1'6"" W: 1'4½""",,Bronze,,,,,National Park Service,,,,,,,,,,,,
"Forest Hills-Judson, Kenneth Gridley",,511,N,Queens,,,6,29,FOREST HILLS GARDENS; green way terr./middle may pl.,Y,,,tablet recessed in deck,,,bronze,,,,,,,,,,,,,,,,,
Isidor and Ida Straus,,1510,Y,Manhattan,Straus Park,M085,7,8,Broadway at 106th Street,Y,1915,,Exedra and fountain pool with figure,H:6' W: 23' D: 47',CPF Endowment,"Bronze, Deer Isle granite",Jno. Williams Inc.,,Augustus Lukeman,Evarts Tracy,Public subscription,,,,,Y,,,20000.00,Business Leader,,993051.9056125581,231379.41491547227
Herman S. Prescott Memorial Pool,,1220,Y,Brooklyn,,B351,3,36,Marcy and Dekalb Avenues,N,,,Plaque on exterior wall,"H: 12"" L: 32"" D: ¼""",,Stainless steel,,,,,Tompkins Park Committee,,,,,,,,,,,,
Flushing World War Memorial,Flushing World War Memorial,502,Y,Queens,Flushing Fields,Q086,7,20,149th Street and Bayside Avenue,Y,1935,ca. 1935,Stele and exedra with plaque,"Stele and exedra H: 15' W: 27' D: 11'; Plaque H: 3'6"" W: 2'4""",,"Granite, bronze",John Polachek Bronze and Iron Company,Modern Art Foundry (replacement plaque),,,,,,,,Y,,,,"World War I, War Memorial",,1035052.952187717,220623.16707105935
Carl Schurz Memorial,,1408,Y,Manhattan,Morningside Park,M056,9,9,Morningside Drive at 116th Street,Y,"May 10, 1913",,Portrait statue and exedra,see memo,,"Bronze, Black Diamond granite","Jno. Williams, bkln (memo)",Piccarrilli Brothers,Karl Bitter,Henry Bacon,Gift,,,,,Y,,,,"Politcal Figure, Soldier, Philanthropy",,995584.8966095597,232921.25271105766
Governor Alfred E. Smith Memorial,"Smith, Alfred E.",1455,Y,Manhattan,Alfred E. Smith Park,M194,3,1,"Catherine Street, between Cherry and Monroe Streets, fronting the Governor A.E. Smith Houses",Y,"June 1, 1950",1946,"Standing figure (over life-size) before a die, right hand resting on a  drapery  that partially covers the die; a brown derby  is on the drapery; plaques on front and two ends of die; die and figure rest on a low base; on back of die is a bas-relief","Figure H: 9'3""; Die H: 4'6"" W: 9'6"" D: 2'6""; Bas-relief H: 4' W: 7'8""",,"Figure, plaque, and bas-relief--bronze, die and base -- Texas pink granite",,,Charles Keck,Eggers & Higgins,Governor A.E. Smith Memorial Committee,,,,,Y,,,,"Sculpture, Politcal Figure",,985001.6362800598,198258.39519964159
Tulip Tree,,1578,Y,Manhattan,Inwood Hill Park,M042,12,7,,Y,February 2 1954,,Tablet on natural boulder,"H: 1'6"" W: 2'",,Bronze,,,,,"Peter Minuit Post #1247, American Legion",,,"Shorakkopoch, Peter Minuit Post",,Y,,,167.00,Colonial,,1005348.3426337987,257442.17118881643
Sgt. Edward R. Miller,,1040,Y,Queens,,QZ298,5,30,"EDWARD R. MILLER SQUARE; Cooper Avenue and 73rd Place, Glendale",Y,11/20/55,,Tablet on stele,"Tablet H: 18"" W: 24""; Stele H: 42"" W: 28"" D: 15 1/2""",,"Bronze, granite",,,,,"Sgt. Edward R. Miller Post No. 7336, Veterans of Foreign Wars",,,,,Y,,,,"World War II, War Memorial",,1018455.0923388898,196365.32254222035
Bronx County Building Sculpture,Bronx County Building Sculpture,157,N,the Bronx,,,4,17,BRONX COUNTY BUILDING; Grand Concourse at East 161st Street,Y,1932,,Statuary groups,,,Georgia pink marble,,,Adolph Alexander Weinman,,Purchase,,,,,,,,,,,,
Corporal George J. Wellbrock Memorial,,1695,Y,Queens,Corporal George J.A. Wellbrock Triangle,Q079,10,32,"Rockaway Boulevard, 106th Street, 109 Avenue",Y,1929,,Obelisk with plaque and nameplates,,,"Georgia granite, flagstone, bronze",,"Geo. H. Noll & Son, Brooklyn, NY",,,Oxford Civic Association,,,Ozone Park World War Memorial,,Y,,,2500.00,"World War I, War Memorial",,1030412.8735413849,186650.87641997635
Patrolman Alfred Loreto Tablet,,938,Y,the Bronx,,X163,3,13,"Tomlinson, Van Nest, and Haight Avenues; west side of brick fieldhouse",Y,"July 21, 1985",,Two plaques on west side of fieldhouse,"H: 15"" W: 26""",,Bronze,,,,,City of New York,,,,,Y,,,,Policeman,,1025192.217972219,248569.52325172722
Unionport Memorial,church square monument,246,Y,the Bronx,Church Square,X012,9,11,"Castle Hill Avenue, Watson Avenue, Cross Bronx Expressway",Y,,,Eternal light on round stele,Stele H: 8' D: 5'; Light H: 2',,Granite and bronze,,Lavery Granite Co.,,,"Public subscription, People of Unionport",,,Church Square Monument,,Y,,,$3300,"World War I, War Memorial",,1025672.4994919747,241663.15845556557
Flushing Park,,499,Y,Queens,Daniel Carter Beard Memorial Square,Q100A,7,20,FLUSHING PARK; main st.- northern blvd.,N,,,fountain-destroyed,16'h,,iron and zinc,,,,,,,,,,,,,,,,,
City Island WW II Memorial,,254,N,the Bronx,,,10,13,CITY ISLAND; City Island Avenue and Sutherland Street,Y,,,One vertical stele w. plaque;  two horiz. steles with plaques; flagstaff w. sign,"18""h x 24""w",,"Bronze, granite, wood","International Bronze Tablet Company, Inc., New York, NY",,,,"Leonard H. Hawkins Post No. 156, American Legion",,,,,Y,,,,"War Memorial, World War II",,1041900.9926254749,251120.308832556
Richmond Hill War Memorial,Richmond Hill War Memorial,1339,Y,Queens,Forest Park,Q015,16,30,Myrtle Avenue and  Park Lane South,Y,November 1925,circa 1925,"Standing figure (over life-size) contemplates a grave marked by a cross, on integral plinth, on pedestal  with plaque","Figure H: 8'; Pedestal H: 5'6"" W: 6'7½"" D: 6'9""; Plaque H: 1'5½"" W: 1'8½""",,Figure and plaque--bronze; Pedestal--Deer Isle granite,"American Art Foundry, NY",,Joseph P. Pollia,William van Alen,Richmond Hill War Memorial Committee and Gold Star Mothers Association of Richmond Hill,,,My Buddy; Forest Park World War Memorial; Richmond Hill Doughboy,,Y,,,12000.00,"War Memorial, World War I",,1028182.0594334751,194831.59857556224
